DemandaID,Titulo,SquadID,StatusID,PrioridadeID,CategoriaID,ResponsavelID,DataAbertura,DataPrazo,DataFechamento
32,Melhoria de acessibilidade #0032,7,3,3,1,21,2024-11-05,2024-11-23,2024-11-09
33,Modelagem de risco de crédito #0033,2,3,4,4,4,2024-10-05,2024-11-06,2024-10-19
34,Automação de relatório executivo #0034,5,3,2,3,13,2024-04-04,2024-04-18,2024-04-10
35,Otimização de conciliação bancária #0035,1,2,4,1,2,2025-03-13,2025-04-10,
36,Otimização de performance UX #0036,7,2,3,4,21,2024-05-31,2024-06-24,
37,Melhoria no fluxo de boas-vindas #0037,3,3,4,6,7,2025-01-01,2025-02-01,2025-01-13
38,Pesquisa de satisfação NPS #0038,7,5,3,3,19,2024-08-30,2024-09-19,2024-10-04
39,Implementação de Pix agendado #0039,1,3,3,2,2,2024-09-11,2024-10-03,2024-09-24
40,Integração de API de Pagamentos #0040,1,3,3,1,2,2024-12-24,2025-01-15,2025-01-19
41,Governança de dados mestres #0041,5,3,3,1,13,2024-10-12,2024-11-04,2024-10-30
42,Monitoramento de infraestrutura #0042,8,2,2,6,22,2024-09-28,2024-10-06,
43,Validação de documentos KYC #0043,3,4,3,2,9,2024-04-28,2024-05-22,
44,Revisão de limites automáticos #0044,2,3,3,1,6,2024-07-20,2024-08-12,2024-08-27
45,Governança de dados mestres #0045,5,2,3,1,14,2025-06-03,2025-06-25,
46,Jornada de cadastro digital #0046,3,3,2,1,8,2025-01-23,2025-02-02,2025-02-01
47,Integração com bureau de crédito #0047,2,3,2,4,6,2024-11-25,2024-12-10,2024-12-04
48,Integração com sistema legado #0048,6,3,4,4,18,2024-03-27,2024-04-28,2024-04-18
49,Melhoria de acessibilidade #0049,7,1,3,4,19,2024-07-22,2024-08-11,
50,Atualização de servidores #0050,8,3,3,4,23,2025-02-28,2025-03-21,2025-03-13
51,Implementar novo gateway #0051,1,3,3,5,1,2025-03-11,2025-04-01,2025-04-10
52,Correção de divergência em pagamentos #0052,1,3,2,4,2,2024-05-16,2024-05-31,2024-06-10
53,Renovação de licenças #0053,8,3,4,3,24,2025-05-31,2025-07-04,2025-06-11
54,Design system atualizado #0054,7,3,3,4,21,2024-10-10,2024-11-04,2024-10-13
55,Modelagem de risco de crédito #0055,2,3,2,2,6,2024-03-23,2024-04-02,2024-03-26
56,Relatório de concessões mensais #0056,2,3,3,2,5,2025-03-01,2025-03-19,2025-03-02
57,Redução de fricção no checkout #0057,7,4,3,3,20,2024-11-01,2024-11-25,
58,Redução de abandono no cadastro #0058,3,3,3,3,9,2024-08-13,2024-09-07,2024-08-14
59,Melhoria no fluxo de boas-vindas #0059,3,5,3,2,7,2025-04-23,2025-05-13,2025-05-06
60,Implementação de data quality #0060,5,1,1,3,13,2025-04-17,2025-04-22,
61,Formulário adaptativo de abertura de conta #0061,3,3,3,2,8,2024-10-11,2024-11-04,2024-10-12
62,Automação de relatório executivo #0062,5,3,4,2,15,2024-03-11,2024-04-08,2024-04-12
63,Atualização do fluxo de liquidação #0063,1,3,2,1,3,2024-04-27,2024-05-08,2024-05-03
64,Monitoramento de SLA por squad #0064,5,3,4,4,13,2024-11-14,2024-12-13,2024-12-23
65,Redução de fricção no checkout #0065,7,2,3,5,19,2024-03-18,2024-04-08,
66,Dashboard de inadimplência #0066,2,3,3,4,6,2024-02-12,2024-03-06,2024-02-15
67,Monitoramento de SLA por squad #0067,5,5,1,2,14,2024-04-18,2024-04-27,2024-04-26
68,Correção de divergência em pagamentos #0068,1,3,2,3,3,2024-10-03,2024-10-18,2024-10-28
69,Redução de abandono no cadastro #0069,3,3,2,5,8,2025-04-06,2025-04-17,2025-04-17
70,Formulário adaptativo de abertura de conta #0070,3,3,3,2,8,2024-08-05,2024-08-28,2024-08-25
71,Design system atualizado #0071,7,3,3,3,19,2024-03-28,2024-04-18,2024-04-05
72,Plano de resposta a incidentes #0072,4,3,3,2,10,2024-04-05,2024-04-27,2024-04-15
73,Dashboard de KPIs executivos #0073,5,3,3,3,14,2024-12-04,2024-12-27,2024-12-13
74,Implementação de Pix agendado #0074,1,3,2,1,3,2024-07-08,2024-07-19,2024-07-18
75,Dashboard de KPIs executivos #0075,5,3,2,1,13,2024-10-30,2024-11-10,2024-11-08
76,Análise de score de crédito #0076,2,2,4,3,6,2024-05-09,2024-06-13,
77,Implementação de data quality #0077,5,5,3,2,13,2024-02-22,2024-03-15,2024-02-25
78,Revisão de acessos privilegiados #0078,4,2,3,4,10,2024-06-01,2024-06-23,
79,Implementar novo gateway #0079,1,3,3,3,3,2024-08-19,2024-09-12,2024-09-07
80,Atualização de política de concessão #0080,2,3,3,3,6,2024-04-11,2024-05-02,2024-04-14
81,Atualização de política de concessão #0081,2,2,3,1,5,2025-04-06,2025-05-01,
82,Relatório de concessões mensais #0082,2,3,2,5,4,2024-08-27,2024-09-08,2024-09-07
83,Redução de fricção no checkout #0083,7,3,3,3,21,2024-06-01,2024-06-23,2024-06-07
84,Revisão de limites automáticos #0084,2,3,3,3,5,2025-03-25,2025-04-13,2025-04-07
85,Monitoramento de SLA por squad #0085,5,3,3,1,13,2025-03-18,2025-04-10,2025-03-26
86,Design system atualizado #0086,7,3,3,6,21,2024-10-02,2024-10-20,2024-10-19
87,Plano de resposta a incidentes #0087,4,3,2,6,11,2025-05-18,2025-05-27,2025-05-24
88,Integração de API de Pagamentos #0088,1,3,2,2,2,2024-10-22,2024-11-05,2024-10-30
89,Melhoria no fluxo de boas-vindas #0089,3,2,2,6,8,2025-06-10,2025-06-18,
90,Revisão de acessos privilegiados #0090,4,3,1,3,12,2025-05-25,2025-06-04,2025-06-03
91,A/B test de interface #0091,7,3,3,4,19,2024-01-30,2024-02-20,2024-01-31
92,Melhoria no fluxo de boas-vindas #0092,3,3,2,4,7,2025-04-17,2025-04-26,2025-04-22
93,Migração de SOAP para REST #0093,6,3,3,3,17,2024-09-06,2024-10-01,2024-09-26
94,Versionamento de contratos de API #0094,6,3,2,1,17,2024-12-14,2024-12-26,2024-12-19
95,Catálogo de dados do domínio #0095,5,2,4,3,13,2025-04-02,2025-05-07,
96,Atualização de middleware #0096,6,3,3,5,16,2024-09-01,2024-09-25,2024-09-26
97,Atualização de middleware #0097,6,5,3,4,17,2024-06-04,2024-06-29,2024-06-23
98,Melhoria de acessibilidade #0098,7,3,4,2,21,2025-04-12,2025-05-10,2025-05-03
99,Implementação de Pix agendado #0099,1,4,3,1,3,2025-02-11,2025-03-02,
100,Dashboard de KPIs executivos #0100,5,3,3,6,15,2025-05-14,2025-06-01,2025-05-24
101,Integração com sistema legado #0101,6,3,3,1,18,2024-04-12,2024-05-07,2024-04-13
102,Validação de documentos KYC #0102,3,3,1,2,8,2024-05-29,2024-06-04,2024-05-31
103,Atualização do fluxo de liquidação #0103,1,4,3,2,3,2024-09-03,2024-09-28,
104,Modelagem de risco de crédito #0104,2,4,3,3,6,2024-01-10,2024-02-04,
105,Dashboard de KPIs executivos #0105,5,3,1,5,15,2024-11-02,2024-11-11,2024-11-07
106,Configuração de DR #0106,8,5,4,1,23,2025-01-02,2025-02-03,2025-01-28
107,Atualização do fluxo de liquidação #0107,1,3,4,4,1,2025-05-23,2025-06-24,2025-06-15
108,Monitoramento de SLA por squad #0108,5,4,3,4,15,2024-05-20,2024-06-08,
109,Correção de divergência em pagamentos #0109,1,4,3,1,2,2024-05-14,2024-06-02,
110,Versionamento de contratos de API #0110,6,3,2,1,18,2025-01-09,2025-01-21,2025-01-17
111,Modelagem de risco de crédito #0111,2,3,4,4,5,2024-03-18,2024-04-17,2024-04-09
112,Pipeline de dados de transações #0112,5,3,3,4,15,2025-01-09,2025-01-28,2025-01-27
113,Revisão de acessos privilegiados #0113,4,2,3,4,12,2025-01-25,2025-02-17,
114,Plano de resposta a incidentes #0114,4,3,3,5,11,2024-08-14,2024-09-02,2024-08-24
115,Melhoria no fluxo de boas-vindas #0115,3,1,2,5,8,2025-05-19,2025-05-28,
116,Otimização de conciliação bancária #0116,1,4,3,4,3,2025-03-05,2025-03-25,
117,Implementação de Pix agendado #0117,1,3,3,2,2,2024-02-03,2024-02-26,2024-02-11
118,Redução de abandono no cadastro #0118,3,3,4,2,9,2025-01-02,2025-01-30,2025-01-06
119,Atualização do fluxo de liquidação #0119,1,3,2,3,1,2024-02-21,2024-03-05,2024-03-02
120,Integração de API de Pagamentos #0120,1,3,3,1,1,2024-08-26,2024-09-18,2024-09-28
121,Relatório de concessões mensais #0121,2,2,4,6,6,2024-09-13,2024-10-13,
122,Implementar novo gateway #0122,1,3,1,4,1,2024-11-27,2024-11-30,2024-11-30
123,Dashboard de KPIs executivos #0123,5,2,3,3,14,2025-06-09,2025-06-28,
124,Implementação de IaC #0124,8,3,1,4,24,2024-11-04,2024-11-14,2024-11-12
125,Otimização do onboarding mobile #0125,3,3,3,3,8,2024-03-16,2024-04-04,2024-03-21
126,Pipeline de dados de transações #0126,5,3,3,4,14,2024-10-28,2024-11-22,2024-11-20
127,Redução de fricção no checkout #0127,7,3,3,4,21,2024-08-08,2024-09-01,2024-08-19
128,Implementação de MFA #0128,4,3,3,1,11,2024-11-16,2024-12-08,2024-12-02
129,Revisão de regras de aprovação #0129,1,3,1,2,3,2025-01-16,2025-01-21,2025-01-21
130,Jornada de cadastro digital #0130,3,5,2,2,9,2025-03-09,2025-03-17,2025-03-15
131,Governança de dados mestres #0131,5,3,2,4,13,2024-04-20,2024-05-03,2024-05-03
132,Governança de dados mestres #0132,5,1,4,4,15,2024-01-27,2024-02-28,
133,Documentação de APIs internas #0133,6,3,2,2,16,2024-07-04,2024-07-14,2024-07-07
134,Monitoramento de SLA por squad #0134,5,3,1,4,13,2025-01-20,2025-01-29,2025-01-25
135,Otimização do onboarding mobile #0135,3,3,4,3,7,2024-06-08,2024-07-08,2024-06-11
136,Implementação de MFA #0136,4,3,3,3,11,2024-10-06,2024-10-27,2024-10-20
137,Análise de score de crédito #0137,2,3,3,3,6,2024-11-11,2024-11-29,2024-11-30
138,Integração com bureau de crédito #0138,2,2,4,4,5,2024-10-23,2024-11-25,
139,Versionamento de contratos de API #0139,6,2,2,2,18,2024-08-23,2024-09-05,
140,Atualização de middleware #0140,6,3,3,3,16,2024-11-16,2024-12-10,2024-11-30
141,Implementação de Pix agendado #0141,1,1,1,2,3,2025-04-16,2025-04-24,
142,Integração de API de Pagamentos #0142,1,3,3,2,1,2025-02-09,2025-03-03,2025-02-15
143,Dashboard de KPIs executivos #0143,5,3,2,3,14,2024-12-25,2025-01-04,2024-12-29
144,Monitoramento de SLA por squad #0144,5,3,3,4,13,2025-05-20,2025-06-14,2025-06-22
145,Design system atualizado #0145,7,3,3,3,21,2024-11-26,2024-12-19,2024-12-11
146,Relatório de concessões mensais #0146,2,3,2,1,6,2024-03-16,2024-03-28,2024-03-22
147,Dashboard de inadimplência #0147,2,2,3,6,4,2025-06-03,2025-06-27,
148,Monitoramento de infraestrutura #0148,8,3,3,1,24,2024-07-11,2024-08-03,2024-07-13
149,Otimização de conciliação bancária #0149,1,1,4,2,3,2024-03-27,2024-04-26,
150,Atualização de certificados SSL #0150,4,4,3,3,10,2025-01-07,2025-01-30,
151,Otimização do onboarding mobile #0151,3,3,2,3,9,2024-12-08,2024-12-17,2024-12-15
152,Modelagem de risco de crédito #0152,2,2,4,6,6,2024-06-02,2024-07-05,
153,Revisão de regras de aprovação #0153,1,3,2,6,3,2025-02-05,2025-02-15,2025-02-20
154,Validação de documentos KYC #0154,3,3,3,4,9,2024-04-05,2024-04-29,2024-04-15
155,Otimização de custos de cloud #0155,8,3,2,4,22,2024-08-19,2024-08-29,2024-08-21
156,Versionamento de contratos de API #0156,6,3,4,5,16,2024-12-10,2025-01-09,2024-12-16
157,Monitoramento de integrações #0157,6,3,3,5,18,2025-03-24,2025-04-11,2025-04-01
158,Automação de relatório executivo #0158,5,5,3,4,13,2024-09-01,2024-09-23,2024-10-08
159,Atualização de política de concessão #0159,2,3,3,3,5,2025-04-17,2025-05-09,2025-05-01
160,A/B test de interface #0160,7,4,4,1,20,2024-02-23,2024-03-29,
161,Melhoria de acessibilidade #0161,7,3,3,3,19,2024-10-18,2024-11-06,2024-11-04
162,Melhoria de acessibilidade #0162,7,3,1,5,20,2024-12-23,2024-12-26,2024-12-25
163,Redução de abandono no cadastro #0163,3,3,1,1,8,2024-04-11,2024-04-19,2024-04-16
164,API Gateway para parceiros #0164,6,1,2,4,17,2024-01-06,2024-01-15,
165,Redesign do app mobile #0165,7,3,3,4,21,2025-03-09,2025-03-28,2025-03-13
166,Dashboard de inadimplência #0166,2,3,3,3,4,2024-04-23,2024-05-18,2024-05-10
167,Análise de score de crédito #0167,2,3,2,2,6,2024-12-27,2025-01-07,2025-01-07
168,Implementação de data quality #0168,5,2,3,6,15,2025-06-03,2025-06-21,
169,Otimização de conciliação bancária #0169,1,3,3,2,3,2024-01-17,2024-02-09,2024-02-08
170,Implementação de Pix agendado #0170,1,3,3,4,1,2024-02-15,2024-03-09,2024-03-12
171,Versionamento de contratos de API #0171,6,2,3,4,18,2024-07-05,2024-07-25,
172,Configuração de DR #0172,8,5,1,1,22,2024-02-12,2024-02-20,2024-02-20
173,Correção de divergência em pagamentos #0173,1,2,3,1,1,2024-12-05,2024-12-27,
174,Otimização do onboarding mobile #0174,3,3,3,2,8,2024-12-13,2025-01-02,2024-12-30
175,Atualização de middleware #0175,6,3,3,1,18,2024-07-03,2024-07-25,2024-07-25
176,Revisão de limites automáticos #0176,2,3,3,2,6,2025-03-30,2025-04-22,2025-05-07
177,Dashboard de KPIs executivos #0177,5,3,3,3,13,2024-03-17,2024-04-10,2024-04-21
178,Implementação de IaC #0178,8,2,2,3,23,2024-02-05,2024-02-15,
179,Pipeline de dados de transações #0179,5,5,3,5,13,2024-06-06,2024-07-01,2024-07-01
180,Implementação de data quality #0180,5,5,3,2,15,2024-10-12,2024-11-02,2024-10-18
181,Implementação de data quality #0181,5,5,4,1,14,2025-04-01,2025-05-02,2025-05-01
182,Modelagem de risco de crédito #0182,2,3,2,1,4,2025-03-31,2025-04-09,2025-04-15
183,Validação de documentos KYC #0183,3,3,1,3,8,2024-06-10,2024-06-15,2024-06-11
184,Integração com sistema legado #0184,6,3,2,3,17,2025-01-12,2025-01-27,2025-01-22
185,Otimização de conciliação bancária #0185,1,3,3,4,2,2025-02-24,2025-03-20,2025-03-07
186,Implementação de Pix agendado #0186,1,3,3,3,1,2024-07-05,2024-07-25,2024-07-26
187,Implementação de Pix agendado #0187,1,5,2,1,2,2024-08-18,2024-08-31,2024-08-23
188,Atualização do fluxo de liquidação #0188,1,3,2,6,2,2024-05-08,2024-05-20,2024-05-19
189,Monitoramento de SLA por squad #0189,5,3,3,1,15,2024-12-11,2024-12-29,2024-12-13
190,Documentação de APIs internas #0190,6,3,2,1,18,2025-03-02,2025-03-10,2025-03-07
191,Monitoramento de infraestrutura #0191,8,3,3,4,24,2025-02-19,2025-03-13,2025-02-25
192,Validação de documentos KYC #0192,3,3,3,2,7,2024-11-16,2024-12-09,2024-12-16
193,API Gateway para parceiros #0193,6,2,3,1,16,2025-04-22,2025-05-11,
194,Correção de divergência em pagamentos #0194,1,5,1,5,3,2025-03-04,2025-03-10,2025-03-24
195,Redesign do app mobile #0195,7,3,3,1,19,2025-05-25,2025-06-19,2025-05-26
196,Monitoramento de infraestrutura #0196,8,2,3,6,22,2024-12-27,2025-01-14,
197,Governança de dados mestres #0197,5,3,4,4,14,2024-01-09,2024-02-07,2024-02-19
198,Monitoramento de integrações #0198,6,3,3,2,18,2024-07-18,2024-08-10,2024-08-04
199,Migração de SOAP para REST #0199,6,5,2,6,18,2024-05-01,2024-05-11,2024-05-07
200,Atualização de servidores #0200,8,1,3,1,24,2025-02-15,2025-03-05,
201,Migração de SOAP para REST #0201,6,1,4,3,16,2025-06-11,2025-07-11,
202,Otimização do onboarding mobile #0202,3,3,3,3,8,2024-12-10,2025-01-04,2024-12-11
203,Melhoria no fluxo de boas-vindas #0203,3,3,2,2,8,2024-01-28,2024-02-12,2024-02-10
204,Monitoramento de SLA por squad #0204,5,3,3,3,13,2025-01-24,2025-02-13,2025-02-12
205,Implementar novo gateway #0205,1,3,1,2,1,2025-02-26,2025-03-04,2025-03-19
206,Design system atualizado #0206,7,2,3,1,19,2025-06-15,2025-07-06,
207,Plano de resposta a incidentes #0207,4,3,3,6,11,2024-12-16,2025-01-08,2025-01-19
208,Versionamento de contratos de API #0208,6,3,2,3,16,2024-10-12,2024-10-24,2024-10-29
209,Revisão de limites automáticos #0209,2,3,2,4,5,2025-05-06,2025-05-19,2025-05-31
210,Revisão de limites automáticos #0210,2,3,3,3,5,2024-12-19,2025-01-08,2024-12-22
211,Redesign do app mobile #0211,7,5,3,4,19,2024-07-25,2024-08-16,2024-07-30
212,Implementação de data quality #0212,5,2,3,1,15,2024-08-19,2024-09-09,
213,Redução de abandono no cadastro #0213,3,3,3,4,7,2024-01-06,2024-01-26,2024-02-10
214,Implementação de MFA #0214,4,4,2,6,11,2024-10-19,2024-10-27,
215,Dashboard de KPIs executivos #0215,5,4,2,4,13,2024-06-28,2024-07-12,
216,Redesign do app mobile #0216,7,4,1,4,20,2024-07-09,2024-07-16,
217,Atualização de política de concessão #0217,2,5,3,5,5,2024-10-18,2024-11-12,2024-11-03
218,Redesign do app mobile #0218,7,3,3,1,19,2024-12-04,2024-12-24,2024-12-10
219,Monitoramento de integrações #0219,6,3,3,3,16,2024-06-28,2024-07-22,2024-07-01
220,Governança de dados mestres #0220,5,3,2,1,14,2024-09-11,2024-09-19,2024-09-16
221,Análise de score de crédito #0221,2,2,3,1,6,2025-01-03,2025-01-24,
222,Análise de vulnerabilidades #0222,4,3,2,4,12,2024-11-14,2024-11-23,2024-11-29
223,Dashboard de inadimplência #0223,2,3,4,3,5,2025-01-17,2025-02-20,2025-03-05
224,Integração com sistema legado #0224,6,3,4,4,18,2024-03-24,2024-04-28,2024-04-01
225,Design system atualizado #0225,7,3,4,1,21,2024-06-02,2024-07-02,2024-06-06
226,Dashboard de inadimplência #0226,2,3,3,1,6,2025-04-01,2025-04-19,2025-04-16
227,Revisão de regras de aprovação #0227,1,3,3,4,3,2024-01-23,2024-02-16,2024-01-30
228,Implementar novo gateway #0228,1,5,3,4,3,2024-03-02,2024-03-21,2024-03-12
229,Implementar novo gateway #0229,1,5,2,3,3,2025-03-06,2025-03-19,2025-03-13
230,Atualização do fluxo de liquidação #0230,1,3,4,5,1,2024-12-22,2025-01-20,2025-01-08
231,Monitoramento de integrações #0231,6,3,2,1,16,2024-11-01,2024-11-16,2024-11-10
232,Design system atualizado #0232,7,1,2,2,20,2024-07-12,2024-07-21,
233,Melhoria no fluxo de boas-vindas #0233,3,2,3,5,7,2024-09-03,2024-09-24,
234,Implementação de Pix agendado #0234,1,3,3,4,1,2024-09-07,2024-09-25,2024-09-14
235,Otimização de performance UX #0235,7,3,1,3,20,2024-08-27,2024-09-04,2024-09-18
236,Modelagem de risco de crédito #0236,2,3,4,6,6,2024-08-14,2024-09-17,2024-08-26
237,Implementação de data quality #0237,5,3,3,1,14,2025-01-25,2025-02-17,2025-02-04
238,Implementar novo gateway #0238,1,3,3,1,1,2024-11-03,2024-11-23,2024-12-02
239,Implementação de IaC #0239,8,3,3,1,22,2024-09-18,2024-10-09,2024-10-03
240,Validação de documentos KYC #0240,3,3,3,4,7,2024-10-01,2024-10-25,2024-10-04
241,Atualização de middleware #0241,6,4,3,4,16,2025-05-05,2025-05-26,
242,Modelagem de risco de crédito #0242,2,4,4,1,4,2024-04-30,2024-06-04,
243,Governança de dados mestres #0243,5,3,2,5,15,2024-11-25,2024-12-07,2024-12-01
244,Revisão de limites automáticos #0244,2,4,3,3,4,2025-04-25,2025-05-18,
245,Formulário adaptativo de abertura de conta #0245,3,3,1,5,9,2024-05-29,2024-06-01,2024-06-11
246,Otimização do onboarding mobile #0246,3,3,2,2,8,2024-09-08,2024-09-23,2024-09-29
247,Versionamento de contratos de API #0247,6,2,3,4,18,2025-05-17,2025-06-11,
248,Jornada de cadastro digital #0248,3,3,2,3,7,2024-03-01,2024-03-09,2024-03-02
249,Melhoria no fluxo de boas-vindas #0249,3,3,4,1,9,2024-06-03,2024-07-01,2024-06-05
250,Catálogo de dados do domínio #0250,5,1,4,5,15,2025-05-14,2025-06-11,
251,Validação de documentos KYC #0251,3,3,1,4,9,2024-10-20,2024-10-23,2024-10-22
252,Implementar novo gateway #0252,1,3,1,1,1,2024-09-15,2024-09-23,2024-09-21
253,Atualização de certificados SSL #0253,4,2,2,4,11,2024-03-23,2024-03-31,
254,Melhoria no fluxo de boas-vindas #0254,3,3,3,3,9,2024-06-24,2024-07-13,2024-07-05
255,Renovação de licenças #0255,8,4,4,5,22,2024-08-23,2024-09-23,
256,Melhoria de acessibilidade #0256,7,3,3,1,19,2024-10-14,2024-11-01,2024-11-02
257,Monitoramento de SLA por squad #0257,5,3,3,4,14,2024-03-19,2024-04-10,2024-04-01
258,Pesquisa de satisfação NPS #0258,7,2,2,4,19,2024-03-21,2024-04-03,
259,Revisão de limites automáticos #0259,2,1,1,3,6,2025-02-10,2025-02-18,
260,Integração com sistema legado #0260,6,3,3,1,18,2025-01-19,2025-02-12,2025-02-01
261,API Gateway para parceiros #0261,6,3,2,1,16,2024-03-25,2024-04-06,2024-04-05
262,Integração com sistema legado #0262,6,3,2,1,16,2024-11-11,2024-11-26,2024-11-14
263,Revisão de regras de aprovação #0263,1,2,3,3,2,2024-04-15,2024-05-03,
264,Revisão de regras de aprovação #0264,1,3,3,2,2,2024-01-13,2024-02-04,2024-02-16
265,Otimização de performance UX #0265,7,2,4,3,19,2025-01-24,2025-02-23,
266,Atualização de política de concessão #0266,2,3,2,1,5,2025-03-07,2025-03-19,2025-03-12
267,Versionamento de contratos de API #0267,6,3,3,3,17,2024-04-19,2024-05-09,2024-05-15
268,Dashboard de KPIs executivos #0268,5,3,4,2,14,2025-03-16,2025-04-15,2025-04-08
269,Atualização de certificados SSL #0269,4,5,2,2,11,2024-10-25,2024-11-09,2024-11-15
270,Modelagem de risco de crédito #0270,2,3,3,2,6,2024-07-23,2024-08-12,2024-08-07
271,Revisão de limites automáticos #0271,2,2,3,4,4,2025-02-22,2025-03-19,
272,Dashboard de inadimplência #0272,2,5,3,4,5,2024-03-16,2024-04-10,2024-03-29
273,Monitoramento de SLA por squad #0273,5,3,4,4,15,2024-02-07,2024-03-11,2024-03-21
274,Redução de fricção no checkout #0274,7,3,2,1,21,2024-12-29,2025-01-08,2025-01-05
275,Formulário adaptativo de abertura de conta #0275,3,3,3,1,7,2024-09-21,2024-10-12,2024-10-10
276,Pipeline de dados de transações #0276,5,2,3,2,15,2025-05-27,2025-06-16,
277,Análise de vulnerabilidades #0277,4,3,2,5,10,2024-04-28,2024-05-08,2024-05-02
278,Implementação de MFA #0278,4,1,3,2,12,2025-04-08,2025-05-01,
279,Documentação de APIs internas #0279,6,4,2,4,18,2024-04-21,2024-05-01,
280,Atualização de política de concessão #0280,2,3,2,1,6,2025-03-12,2025-03-27,2025-03-15
281,Dashboard de KPIs executivos #0281,5,3,3,1,15,2024-07-21,2024-08-15,2024-08-13
282,Revisão de limites automáticos #0282,2,3,3,4,4,2024-04-14,2024-05-04,2024-04-18
283,Catálogo de dados do domínio #0283,5,3,3,6,14,2025-02-01,2025-02-25,2025-02-16
284,Atualização do fluxo de liquidação #0284,1,3,3,4,3,2024-03-27,2024-04-16,2024-03-31
285,Formulário adaptativo de abertura de conta #0285,3,3,2,2,9,2024-05-21,2024-06-04,2024-05-30
286,Otimização de performance UX #0286,7,2,4,1,19,2025-05-16,2025-06-17,
287,Pesquisa de satisfação NPS #0287,7,2,3,5,19,2025-05-11,2025-05-31,
288,Migração para cloud #0288,8,3,3,3,24,2025-05-18,2025-06-11,2025-05-24
289,Catálogo de dados do domínio #0289,5,3,3,1,13,2024-10-08,2024-10-29,2024-10-23
290,Migração de SOAP para REST #0290,6,3,3,3,16,2024-04-26,2024-05-18,2024-05-24
291,Redução de fricção no checkout #0291,7,2,1,4,21,2024-08-11,2024-08-20,
292,Automação de relatório executivo #0292,5,2,2,5,13,2025-04-05,2025-04-17,
293,Revisão de regras de aprovação #0293,1,4,4,1,1,2024-08-02,2024-09-04,
294,Governança de dados mestres #0294,5,3,2,1,13,2024-07-30,2024-08-07,2024-08-02
295,Migração para cloud #0295,8,5,2,3,24,2024-04-07,2024-04-17,2024-05-02
296,Implementação de IaC #0296,8,3,4,1,22,2024-09-12,2024-10-12,2024-10-25
297,Implementação de data quality #0297,5,3,3,3,14,2025-02-28,2025-03-24,2025-03-03
298,Pipeline de dados de transações #0298,5,2,2,5,14,2025-04-10,2025-04-25,
299,Redução de fricção no checkout #0299,7,3,4,1,20,2025-01-01,2025-01-30,2025-01-15
