DemandaID,Titulo,Squad,Area,StatusNome,PrioridadeNome,Nivel,SLA_Dias,CategoriaNome,Responsavel,DataAbertura,DataPrazo,DataFechamento
46,Jornada de cadastro digital #0046,Squad Onboarding,Experiência do Cliente,Concluído,Alta,2,10,Desenvolvimento,Henrique Alves,2025-01-23,2025-02-02,2025-02-01
47,Integração com bureau de crédito #0047,Squad Crédito,Produtos Financeiros,Concluído,Alta,2,10,Bug,Felipe Santos,2024-11-25,2024-12-10,2024-12-04
48,Integração com sistema legado #0048,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Baixa,4,30,Bug,Sergio Dias,2024-03-27,2024-04-28,2024-04-18
49,Melhoria de acessibilidade #0049,Squad Experiência,Experiência do Cliente,Aberto,Média,3,20,Bug,Tatiana Ramos,2024-07-22,2024-08-11,
50,Atualização de servidores #0050,Squad Infraestrutura,Tecnologia e Infraestrutura,Concluído,Média,3,20,Bug,Xenia Campos,2025-02-28,2025-03-21,2025-03-13
51,Implementar novo gateway #0051,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Infraestrutura,Ana Silva,2025-03-11,2025-04-01,2025-04-10
52,Correção de divergência em pagamentos #0052,Squad Pagamentos,Produtos Financeiros,Concluído,Alta,2,10,Bug,Bruno Costa,2024-05-16,2024-05-31,2024-06-10
53,Renovação de licenças #0053,Squad Infraestrutura,Tecnologia e Infraestrutura,Concluído,Baixa,4,30,Melhoria,Yuri Fernandes,2025-05-31,2025-07-04,2025-06-11
54,Design system atualizado #0054,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Bug,Vera Lopes,2024-10-10,2024-11-04,2024-10-13
55,Modelagem de risco de crédito #0055,Squad Crédito,Produtos Financeiros,Concluído,Alta,2,10,Manutenção,Felipe Santos,2024-03-23,2024-04-02,2024-03-26
56,Relatório de concessões mensais #0056,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Manutenção,Elena Ferreira,2025-03-01,2025-03-19,2025-03-02
57,Redução de fricção no checkout #0057,Squad Experiência,Experiência do Cliente,Bloqueado,Média,3,20,Melhoria,Ulisses Faria,2024-11-01,2024-11-25,
58,Redução de abandono no cadastro #0058,Squad Onboarding,Experiência do Cliente,Concluído,Média,3,20,Melhoria,Isabela Nunes,2024-08-13,2024-09-07,2024-08-14
59,Melhoria no fluxo de boas-vindas #0059,Squad Onboarding,Experiência do Cliente,Cancelado,Média,3,20,Manutenção,Gabriela Lima,2025-04-23,2025-05-13,2025-05-06
60,Implementação de data quality #0060,Squad Dados,Data & Analytics,Aberto,Crítica,1,5,Melhoria,Marina Oliveira,2025-04-17,2025-04-22,
61,Formulário adaptativo de abertura de conta #0061,Squad Onboarding,Experiência do Cliente,Concluído,Média,3,20,Manutenção,Henrique Alves,2024-10-11,2024-11-04,2024-10-12
62,Automação de relatório executivo #0062,Squad Dados,Data & Analytics,Concluído,Baixa,4,30,Manutenção,Olivia Castro,2024-03-11,2024-04-08,2024-04-12
63,Atualização do fluxo de liquidação #0063,Squad Pagamentos,Produtos Financeiros,Concluído,Alta,2,10,Desenvolvimento,Carla Mendes,2024-04-27,2024-05-08,2024-05-03
64,Monitoramento de SLA por squad #0064,Squad Dados,Data & Analytics,Concluído,Baixa,4,30,Bug,Marina Oliveira,2024-11-14,2024-12-13,2024-12-23
65,Redução de fricção no checkout #0065,Squad Experiência,Experiência do Cliente,Em Andamento,Média,3,20,Infraestrutura,Tatiana Ramos,2024-03-18,2024-04-08,
66,Dashboard de inadimplência #0066,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Bug,Felipe Santos,2024-02-12,2024-03-06,2024-02-15
67,Monitoramento de SLA por squad #0067,Squad Dados,Data & Analytics,Cancelado,Crítica,1,5,Manutenção,Nelson Gomes,2024-04-18,2024-04-27,2024-04-26
68,Correção de divergência em pagamentos #0068,Squad Pagamentos,Produtos Financeiros,Concluído,Alta,2,10,Melhoria,Carla Mendes,2024-10-03,2024-10-18,2024-10-28
69,Redução de abandono no cadastro #0069,Squad Onboarding,Experiência do Cliente,Concluído,Alta,2,10,Infraestrutura,Henrique Alves,2025-04-06,2025-04-17,2025-04-17
70,Formulário adaptativo de abertura de conta #0070,Squad Onboarding,Experiência do Cliente,Concluído,Média,3,20,Manutenção,Henrique Alves,2024-08-05,2024-08-28,2024-08-25
71,Design system atualizado #0071,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Melhoria,Tatiana Ramos,2024-03-28,2024-04-18,2024-04-05
72,Plano de resposta a incidentes #0072,Squad Segurança,Tecnologia e Infraestrutura,Concluído,Média,3,20,Manutenção,João Cardoso,2024-04-05,2024-04-27,2024-04-15
73,Dashboard de KPIs executivos #0073,Squad Dados,Data & Analytics,Concluído,Média,3,20,Melhoria,Nelson Gomes,2024-12-04,2024-12-27,2024-12-13
74,Implementação de Pix agendado #0074,Squad Pagamentos,Produtos Financeiros,Concluído,Alta,2,10,Desenvolvimento,Carla Mendes,2024-07-08,2024-07-19,2024-07-18
75,Dashboard de KPIs executivos #0075,Squad Dados,Data & Analytics,Concluído,Alta,2,10,Desenvolvimento,Marina Oliveira,2024-10-30,2024-11-10,2024-11-08
76,Análise de score de crédito #0076,Squad Crédito,Produtos Financeiros,Em Andamento,Baixa,4,30,Melhoria,Felipe Santos,2024-05-09,2024-06-13,
77,Implementação de data quality #0077,Squad Dados,Data & Analytics,Cancelado,Média,3,20,Manutenção,Marina Oliveira,2024-02-22,2024-03-15,2024-02-25
78,Revisão de acessos privilegiados #0078,Squad Segurança,Tecnologia e Infraestrutura,Em Andamento,Média,3,20,Bug,João Cardoso,2024-06-01,2024-06-23,
79,Implementar novo gateway #0079,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Melhoria,Carla Mendes,2024-08-19,2024-09-12,2024-09-07
80,Atualização de política de concessão #0080,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Melhoria,Felipe Santos,2024-04-11,2024-05-02,2024-04-14
81,Atualização de política de concessão #0081,Squad Crédito,Produtos Financeiros,Em Andamento,Média,3,20,Desenvolvimento,Elena Ferreira,2025-04-06,2025-05-01,
82,Relatório de concessões mensais #0082,Squad Crédito,Produtos Financeiros,Concluído,Alta,2,10,Infraestrutura,Diego Rocha,2024-08-27,2024-09-08,2024-09-07
83,Redução de fricção no checkout #0083,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Melhoria,Vera Lopes,2024-06-01,2024-06-23,2024-06-07
84,Revisão de limites automáticos #0084,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Melhoria,Elena Ferreira,2025-03-25,2025-04-13,2025-04-07
85,Monitoramento de SLA por squad #0085,Squad Dados,Data & Analytics,Concluído,Média,3,20,Desenvolvimento,Marina Oliveira,2025-03-18,2025-04-10,2025-03-26
86,Design system atualizado #0086,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Compliance,Vera Lopes,2024-10-02,2024-10-20,2024-10-19
87,Plano de resposta a incidentes #0087,Squad Segurança,Tecnologia e Infraestrutura,Concluído,Alta,2,10,Compliance,Karina Souza,2025-05-18,2025-05-27,2025-05-24
88,Integração de API de Pagamentos #0088,Squad Pagamentos,Produtos Financeiros,Concluído,Alta,2,10,Manutenção,Bruno Costa,2024-10-22,2024-11-05,2024-10-30
89,Melhoria no fluxo de boas-vindas #0089,Squad Onboarding,Experiência do Cliente,Em Andamento,Alta,2,10,Compliance,Henrique Alves,2025-06-10,2025-06-18,
90,Revisão de acessos privilegiados #0090,Squad Segurança,Tecnologia e Infraestrutura,Concluído,Crítica,1,5,Melhoria,Lucas Pereira,2025-05-25,2025-06-04,2025-06-03
91,A/B test de interface #0091,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Bug,Tatiana Ramos,2024-01-30,2024-02-20,2024-01-31
92,Melhoria no fluxo de boas-vindas #0092,Squad Onboarding,Experiência do Cliente,Concluído,Alta,2,10,Bug,Gabriela Lima,2025-04-17,2025-04-26,2025-04-22
93,Migração de SOAP para REST #0093,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Média,3,20,Melhoria,Renata Barbosa,2024-09-06,2024-10-01,2024-09-26
94,Versionamento de contratos de API #0094,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Alta,2,10,Desenvolvimento,Renata Barbosa,2024-12-14,2024-12-26,2024-12-19
95,Catálogo de dados do domínio #0095,Squad Dados,Data & Analytics,Em Andamento,Baixa,4,30,Melhoria,Marina Oliveira,2025-04-02,2025-05-07,
96,Atualização de middleware #0096,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Média,3,20,Infraestrutura,Paulo Martins,2024-09-01,2024-09-25,2024-09-26
97,Atualização de middleware #0097,Squad Integrações,Tecnologia e Infraestrutura,Cancelado,Média,3,20,Bug,Renata Barbosa,2024-06-04,2024-06-29,2024-06-23
98,Melhoria de acessibilidade #0098,Squad Experiência,Experiência do Cliente,Concluído,Baixa,4,30,Manutenção,Vera Lopes,2025-04-12,2025-05-10,2025-05-03
99,Implementação de Pix agendado #0099,Squad Pagamentos,Produtos Financeiros,Bloqueado,Média,3,20,Desenvolvimento,Carla Mendes,2025-02-11,2025-03-02,
100,Dashboard de KPIs executivos #0100,Squad Dados,Data & Analytics,Concluído,Média,3,20,Compliance,Olivia Castro,2025-05-14,2025-06-01,2025-05-24
101,Integração com sistema legado #0101,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Média,3,20,Desenvolvimento,Sergio Dias,2024-04-12,2024-05-07,2024-04-13
102,Validação de documentos KYC #0102,Squad Onboarding,Experiência do Cliente,Concluído,Crítica,1,5,Manutenção,Henrique Alves,2024-05-29,2024-06-04,2024-05-31
103,Atualização do fluxo de liquidação #0103,Squad Pagamentos,Produtos Financeiros,Bloqueado,Média,3,20,Manutenção,Carla Mendes,2024-09-03,2024-09-28,
104,Modelagem de risco de crédito #0104,Squad Crédito,Produtos Financeiros,Bloqueado,Média,3,20,Melhoria,Felipe Santos,2024-01-10,2024-02-04,
105,Dashboard de KPIs executivos #0105,Squad Dados,Data & Analytics,Concluído,Crítica,1,5,Infraestrutura,Olivia Castro,2024-11-02,2024-11-11,2024-11-07
106,Configuração de DR #0106,Squad Infraestrutura,Tecnologia e Infraestrutura,Cancelado,Baixa,4,30,Desenvolvimento,Xenia Campos,2025-01-02,2025-02-03,2025-01-28
107,Atualização do fluxo de liquidação #0107,Squad Pagamentos,Produtos Financeiros,Concluído,Baixa,4,30,Bug,Ana Silva,2025-05-23,2025-06-24,2025-06-15
108,Monitoramento de SLA por squad #0108,Squad Dados,Data & Analytics,Bloqueado,Média,3,20,Bug,Olivia Castro,2024-05-20,2024-06-08,
109,Correção de divergência em pagamentos #0109,Squad Pagamentos,Produtos Financeiros,Bloqueado,Média,3,20,Desenvolvimento,Bruno Costa,2024-05-14,2024-06-02,
110,Versionamento de contratos de API #0110,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Alta,2,10,Desenvolvimento,Sergio Dias,2025-01-09,2025-01-21,2025-01-17
111,Modelagem de risco de crédito #0111,Squad Crédito,Produtos Financeiros,Concluído,Baixa,4,30,Bug,Elena Ferreira,2024-03-18,2024-04-17,2024-04-09
112,Pipeline de dados de transações #0112,Squad Dados,Data & Analytics,Concluído,Média,3,20,Bug,Olivia Castro,2025-01-09,2025-01-28,2025-01-27
113,Revisão de acessos privilegiados #0113,Squad Segurança,Tecnologia e Infraestrutura,Em Andamento,Média,3,20,Bug,Lucas Pereira,2025-01-25,2025-02-17,
114,Plano de resposta a incidentes #0114,Squad Segurança,Tecnologia e Infraestrutura,Concluído,Média,3,20,Infraestrutura,Karina Souza,2024-08-14,2024-09-02,2024-08-24
115,Melhoria no fluxo de boas-vindas #0115,Squad Onboarding,Experiência do Cliente,Aberto,Alta,2,10,Infraestrutura,Henrique Alves,2025-05-19,2025-05-28,
116,Otimização de conciliação bancária #0116,Squad Pagamentos,Produtos Financeiros,Bloqueado,Média,3,20,Bug,Carla Mendes,2025-03-05,2025-03-25,
117,Implementação de Pix agendado #0117,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Manutenção,Bruno Costa,2024-02-03,2024-02-26,2024-02-11
118,Redução de abandono no cadastro #0118,Squad Onboarding,Experiência do Cliente,Concluído,Baixa,4,30,Manutenção,Isabela Nunes,2025-01-02,2025-01-30,2025-01-06
119,Atualização do fluxo de liquidação #0119,Squad Pagamentos,Produtos Financeiros,Concluído,Alta,2,10,Melhoria,Ana Silva,2024-02-21,2024-03-05,2024-03-02
120,Integração de API de Pagamentos #0120,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Desenvolvimento,Ana Silva,2024-08-26,2024-09-18,2024-09-28
121,Relatório de concessões mensais #0121,Squad Crédito,Produtos Financeiros,Em Andamento,Baixa,4,30,Compliance,Felipe Santos,2024-09-13,2024-10-13,
122,Implementar novo gateway #0122,Squad Pagamentos,Produtos Financeiros,Concluído,Crítica,1,5,Bug,Ana Silva,2024-11-27,2024-11-30,2024-11-30
123,Dashboard de KPIs executivos #0123,Squad Dados,Data & Analytics,Em Andamento,Média,3,20,Melhoria,Nelson Gomes,2025-06-09,2025-06-28,
124,Implementação de IaC #0124,Squad Infraestrutura,Tecnologia e Infraestrutura,Concluído,Crítica,1,5,Bug,Yuri Fernandes,2024-11-04,2024-11-14,2024-11-12
125,Otimização do onboarding mobile #0125,Squad Onboarding,Experiência do Cliente,Concluído,Média,3,20,Melhoria,Henrique Alves,2024-03-16,2024-04-04,2024-03-21
126,Pipeline de dados de transações #0126,Squad Dados,Data & Analytics,Concluído,Média,3,20,Bug,Nelson Gomes,2024-10-28,2024-11-22,2024-11-20
127,Redução de fricção no checkout #0127,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Bug,Vera Lopes,2024-08-08,2024-09-01,2024-08-19
128,Implementação de MFA #0128,Squad Segurança,Tecnologia e Infraestrutura,Concluído,Média,3,20,Desenvolvimento,Karina Souza,2024-11-16,2024-12-08,2024-12-02
129,Revisão de regras de aprovação #0129,Squad Pagamentos,Produtos Financeiros,Concluído,Crítica,1,5,Manutenção,Carla Mendes,2025-01-16,2025-01-21,2025-01-21
130,Jornada de cadastro digital #0130,Squad Onboarding,Experiência do Cliente,Cancelado,Alta,2,10,Manutenção,Isabela Nunes,2025-03-09,2025-03-17,2025-03-15
131,Governança de dados mestres #0131,Squad Dados,Data & Analytics,Concluído,Alta,2,10,Bug,Marina Oliveira,2024-04-20,2024-05-03,2024-05-03
132,Governança de dados mestres #0132,Squad Dados,Data & Analytics,Aberto,Baixa,4,30,Bug,Olivia Castro,2024-01-27,2024-02-28,
133,Documentação de APIs internas #0133,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Alta,2,10,Manutenção,Paulo Martins,2024-07-04,2024-07-14,2024-07-07
134,Monitoramento de SLA por squad #0134,Squad Dados,Data & Analytics,Concluído,Crítica,1,5,Bug,Marina Oliveira,2025-01-20,2025-01-29,2025-01-25
135,Otimização do onboarding mobile #0135,Squad Onboarding,Experiência do Cliente,Concluído,Baixa,4,30,Melhoria,Gabriela Lima,2024-06-08,2024-07-08,2024-06-11
136,Implementação de MFA #0136,Squad Segurança,Tecnologia e Infraestrutura,Concluído,Média,3,20,Melhoria,Karina Souza,2024-10-06,2024-10-27,2024-10-20
137,Análise de score de crédito #0137,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Melhoria,Felipe Santos,2024-11-11,2024-11-29,2024-11-30
138,Integração com bureau de crédito #0138,Squad Crédito,Produtos Financeiros,Em Andamento,Baixa,4,30,Bug,Elena Ferreira,2024-10-23,2024-11-25,
139,Versionamento de contratos de API #0139,Squad Integrações,Tecnologia e Infraestrutura,Em Andamento,Alta,2,10,Manutenção,Sergio Dias,2024-08-23,2024-09-05,
140,Atualização de middleware #0140,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Média,3,20,Melhoria,Paulo Martins,2024-11-16,2024-12-10,2024-11-30
141,Implementação de Pix agendado #0141,Squad Pagamentos,Produtos Financeiros,Aberto,Crítica,1,5,Manutenção,Carla Mendes,2025-04-16,2025-04-24,
142,Integração de API de Pagamentos #0142,Squad Pagamentos,Produtos Financeiros,Concluído,Média,3,20,Manutenção,Ana Silva,2025-02-09,2025-03-03,2025-02-15
143,Dashboard de KPIs executivos #0143,Squad Dados,Data & Analytics,Concluído,Alta,2,10,Melhoria,Nelson Gomes,2024-12-25,2025-01-04,2024-12-29
144,Monitoramento de SLA por squad #0144,Squad Dados,Data & Analytics,Concluído,Média,3,20,Bug,Marina Oliveira,2025-05-20,2025-06-14,2025-06-22
145,Design system atualizado #0145,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Melhoria,Vera Lopes,2024-11-26,2024-12-19,2024-12-11
146,Relatório de concessões mensais #0146,Squad Crédito,Produtos Financeiros,Concluído,Alta,2,10,Desenvolvimento,Felipe Santos,2024-03-16,2024-03-28,2024-03-22
147,Dashboard de inadimplência #0147,Squad Crédito,Produtos Financeiros,Em Andamento,Média,3,20,Compliance,Diego Rocha,2025-06-03,2025-06-27,
148,Monitoramento de infraestrutura #0148,Squad Infraestrutura,Tecnologia e Infraestrutura,Concluído,Média,3,20,Desenvolvimento,Yuri Fernandes,2024-07-11,2024-08-03,2024-07-13
149,Otimização de conciliação bancária #0149,Squad Pagamentos,Produtos Financeiros,Aberto,Baixa,4,30,Manutenção,Carla Mendes,2024-03-27,2024-04-26,
150,Atualização de certificados SSL #0150,Squad Segurança,Tecnologia e Infraestrutura,Bloqueado,Média,3,20,Melhoria,João Cardoso,2025-01-07,2025-01-30,
151,Otimização do onboarding mobile #0151,Squad Onboarding,Experiência do Cliente,Concluído,Alta,2,10,Melhoria,Isabela Nunes,2024-12-08,2024-12-17,2024-12-15
152,Modelagem de risco de crédito #0152,Squad Crédito,Produtos Financeiros,Em Andamento,Baixa,4,30,Compliance,Felipe Santos,2024-06-02,2024-07-05,
153,Revisão de regras de aprovação #0153,Squad Pagamentos,Produtos Financeiros,Concluído,Alta,2,10,Compliance,Carla Mendes,2025-02-05,2025-02-15,2025-02-20
154,Validação de documentos KYC #0154,Squad Onboarding,Experiência do Cliente,Concluído,Média,3,20,Bug,Isabela Nunes,2024-04-05,2024-04-29,2024-04-15
155,Otimização de custos de cloud #0155,Squad Infraestrutura,Tecnologia e Infraestrutura,Concluído,Alta,2,10,Bug,Wagner Teixeira,2024-08-19,2024-08-29,2024-08-21
156,Versionamento de contratos de API #0156,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Baixa,4,30,Infraestrutura,Paulo Martins,2024-12-10,2025-01-09,2024-12-16
157,Monitoramento de integrações #0157,Squad Integrações,Tecnologia e Infraestrutura,Concluído,Média,3,20,Infraestrutura,Sergio Dias,2025-03-24,2025-04-11,2025-04-01
158,Automação de relatório executivo #0158,Squad Dados,Data & Analytics,Cancelado,Média,3,20,Bug,Marina Oliveira,2024-09-01,2024-09-23,2024-10-08
159,Atualização de política de concessão #0159,Squad Crédito,Produtos Financeiros,Concluído,Média,3,20,Melhoria,Elena Ferreira,2025-04-17,2025-05-09,2025-05-01
160,A/B test de interface #0160,Squad Experiência,Experiência do Cliente,Bloqueado,Baixa,4,30,Desenvolvimento,Ulisses Faria,2024-02-23,2024-03-29,
161,Melhoria de acessibilidade #0161,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Melhoria,Tatiana Ramos,2024-10-18,2024-11-06,2024-11-04
162,Melhoria de acessibilidade #0162,Squad Experiência,Experiência do Cliente,Concluído,Crítica,1,5,Infraestrutura,Ulisses Faria,2024-12-23,2024-12-26,2024-12-25
163,Redução de abandono no cadastro #0163,Squad Onboarding,Experiência do Cliente,Concluído,Crítica,1,5,Desenvolvimento,Henrique Alves,2024-04-11,2024-04-19,2024-04-16
164,API Gateway para parceiros #0164,Squad Integrações,Tecnologia e Infraestrutura,Aberto,Alta,2,10,Bug,Renata Barbosa,2024-01-06,2024-01-15,
165,Redesign do app mobile #0165,Squad Experiência,Experiência do Cliente,Concluído,Média,3,20,Bug,Vera Lopes,2025-03-09,2025-03-28,2025-03-13
